severity,magnitude_index,failure_locus,facility_des,facility_loc,latitude,longditude,accuracy,google_place_id,country,type,ore_type,dam_type,dam_fill_material,dam_height,storage_vol,ICOLD_type,ICOLD_key,ICOLD_cause,incident_year,indident_date,release_volume,runout_distance,deaths,sources,notes
1,1.054489145,4,"Louyang Xiangjiang Wanji Aluminum, China","Louyang Xiangjiang Wanji Aluminum, China",34.727745,112.094308,GEOMETRIC_CENTER,ChIJn2hdliBFeDYRDk6wlm--T-s,CN,"establishment,point_of_interest",Al,,,,,1,A,SI,2016,10-Aug-2016,2000000,,,"AGU Landslide Blog 15Aug16, az-china.com 11Aug16",The southwest corner of its red-mud dam body was unsound had a landslide accident. dam was about 1.5km in length. (http://blogs.agu.org/landslideblog/2016/08/15/luoyang-1/) Xiangjiang Wanji Aluminium is a private alumina refinery ... established in 2005 ... annual capacity is 1.2 million tonnes of alumina. (http://az-china.com/archives/7980#)
1,8.214285714,1,"Hpakant, Kachin state, Myanmar","Hpakant, Kachin state, Myanmar",25.6162172,96.2960283,APPROXIMATE,ChIJw8po8eD7OTcRs4EQQDsB-NY,MM,"locality,political",Jade,,,60,,,,,2015,21-Nov-2015,,,115,WISE; https://www.rfa.org/english/news/myanmar/landslide-05042018180440.html;  https://www.reuters.com/article/us-myanmar-mine/nearly-100-bodies-pulled-from-landslide-near-myanmar-jade-mine-idUSKCN0TB04M20151122#HzIpgHyQJIj0Xqgu.97,Failure of waste rock pile for Jade mining.
,,3,"Sepon Mine  Western TSF Pipeline MMG as Lane Zane Minerals,Savannakhet Province Laos","Sepon Mine,Savannakhet Province,Laos",16.6960949,106.2080897,APPROXIMATE,ChIJMX8qh1d0PzERyxCV0TTZSsQ,LA,"locality,political","Cu,Au",,E,,,2,A,,2015,,,,,MMG 2017 Sustainability Report,by January 2017  10.7 km of the total 11.5  km corroded with age tailings pieline had been replaced. Corroision greater than expected to du chnaged chemistry of the tailings
1,41.41648195,1,"Fundao (Germano), Minas Gerais, Brazil ,Samarco( Vale & BHP)","Fundao (Germano), Minas Gerais, Brazil ,Samarco",-21.433333,-46.4,APPROXIMATE,ChIJuSCF7F8QtpQRUedaGIA07OU,BR,"locality,political",Fe,US,MW,90,55000000,1,A,ST,2015,05-Nov-2015,45000000,637,19,"Report on the Immediate Causes of the Failure of the Fundão Dam, August 25, 2016; The Australian, 16Nov15, 9Jan16; Sydney Morning Herald, 14Nov15; Do the right Thing, Samarco, December 15, 2015; www.mining.com, 8Jan16Fundão Tailings Dam Review Panel, Bowker,LN [26]","19 deaths. caused a partial erosion of  Santarém dam aouldeand damage  to a side wall of the Selinha dike, one of the side walls of the Germano dam Destoted village of Bento Rodriguez.  Waste discharge reached the Atlantic Ocean."
,,1,"Gold King Mine, near Silverton, Colorado","Gold King Mine, near Silverton, Colorado",37.8944444,-107.6383333,ROOFTOP,ChIJqxPRlszgPocRB0jCgL4KBVg,US,"establishment,point_of_interest",Au,N/A,N/A,,,3,B,ST,2015,05-Aug-2015,11356.23,,,"USEPA Summary Report, EPA Internal Review ","During work by EPA a large accidental release wastewater from the Gold King Mine near Silverton, CO."
,,2,"Yellow Giant Mine, Banks Island, British Columbia, Canada","Yellow Giant Mine, Banks Island, British Columbia, Canada",53.4535898,-130.1498672,APPROXIMATE,ChIJp_bBT3l5clQRY9W0V-IF42Q,CA,"establishment,natural_feature",Au,,,,,2,A,ST,2015,25-Jun-2015,240,1,,Vancouver Sun;Bowker Wordpress unauthorized tailings deposition in old shaft,"Effluent and mine waste leaked from a pair of underground mine sites, including from a “non-engineered” containment berm and a concrete plug at an old underground site. Discharge reached the ocean through a creek, several beaver-dam-created wetlands and Banks Lake before entering the ocean at Surrey Bay. (Vancouver Sun, 27Jul15) (""Pollution spill at Yellow Giant gold mine sparks investigation by Environment Canada,"" Hoekstra, Vancouver 29Jul15)"
3,,3,"Rosario Mine, San Luis Potosi  Mexico, Santa Cruz Silver Mining LTD.","Rosario Mine, San Luis Potosi ,Mexico",22.1564699,-100.9855409,APPROXIMATE,ChIJefusBQCiKoQRV4Lhrynu0g4,MX,"locality,political",Ag,,,,,1,A,,2015,01-Jan-2015,2000,,,santacruzsilver.com/s/news_releases.asp?ReportID=692457,Restart of past producing mne by newly formed co.; pipe faiure; runout contained by berm;company fine $180k
1,,1,"Queensland Nickel,Yabulu Refnery,( Clive Pamer), Townsville Australia","Queensland Nickel,Yabulu Refnery, Townsville,Australia",-19.2053018,146.6126521,ROOFTOP,ChIJvasmcaf11WsRxwTfObABPzU,AU,"establishment,point_of_interest",Ni,,,,,1,A,OT,2014,01-Apr-2014,,,,"Millintgton,Ben 12/14/16 ABC.Net; Administrator Report April 2016 [19]; https://www.townsvillebulletin.com.au/news/qni-fined-for-tailing-dam-spill/news-","several days of unautghorized uncntrlled releases warned of inadequate capacity n 2012 & ignored, complex fnancial background maintenance deferedl under BHP before transfer to Palmer in liquidation Gov't footing cleanup bill"
2,0.214285714,1,"Herculano Iron Mine, Itabirite, Minas Gerais, Brazil","Herculano Iron Mine, Itabirite, Minas Gerais, Brazil",-20.2531234,-43.927063,GEOMETRIC_CENTER,ChIJteK_gXWtpgARNDZmOdwv530,BR,"establishment,point_of_interest",Fe,,,,,1,A,U,2014,10-Sep-2014,,,3,WISE,"A large amount of waste was released on top of vehicles and workers. A truck driver, a bulldozer with operator and a Fiat Uno with the driver were all buried. ""Tailings dam failure kills three workers,"" Mining.com, September 12, 2014."
3,0.021089783,1,"Buenavista del Cobre mine, Cananea, Sonora, Mexico (Grupo Mexico)","Buenavista del Cobre mine, Cananea, Sonora, Mexico",30.9707414,-110.3089756,ROOFTOP,ChIJ_ctMOxji0IYRLYIYJo9VM1E,MX,"establishment,point_of_interest",Cu,,,,,1,A,U,2014,07-Aug-2014,40000,,,WISE,"Southern Copper Corp. (Grupo México) Flow into the 420km-long Bacanuchi river waterway, a tributary of the Sonora River, directly affecting 800,000 people "
1,12.62245909,1,"Imperial Metals, Mt Polley, British Columbia, Canada","Mt Polley, British Columbia, Canada",52.5566666,-121.6358333,APPROXIMATE,ChIJiTsTDRXVgFMR2o5xrl1y2gw,CA,"establishment,natural_feature","Cu,Au",MCL,MW,40,74000000,1,A,FN,2014,04-Aug-2014,23600000,7,,"Expert Panel Report, BowkerLN[27]","Report on Mount Polley Tailings Storage Facility Breach, Independent Expert Engineering Investigation and Review Panel, Province of British Columbia, January 30, 2015; Imperial Metals 2015 Annual Report"
2,0.176099687,1,"Dan River Steam Station, North Carolina (Duke Energy)","Dan River Steam Station, North Carolina",36.4915111,-79.7195704,ROOFTOP,ChIJe-yBLxXAUogRqFg8U0x8kWo,US,"establishment,point_of_interest",Coal,,,,155000000,1,A,ST,2014,02-Feb-2014,334000,,,"WISE, Caldwell 2014","Collapse of an old drainage pipe under a 27-acre ash waste pond.  Ash flowing through drainage pipe into Dan River. Tailings Facility Failures in 2013/2014, Caldwell, 4Nov14"
3,0.769246587,,"Coalmont Energy Corporation, Basin Coal Mine",Basin Coal Mine,43.2095996,-117.0162504,APPROXIMATE,ChIJLZ8LvX_dsVQRGx5XLafj4DM,US,"establishment,natural_feature",Coal,U,U,,,1,A,OT,2014,24-Aug-2013,30,30,,globalnews.ca/news/805234/coalmont-villagers-fuming-over-black-river/,"The coal processing plant malfunctioned Saturday, forcing plant water to be drained into a detention pond. The tailings then overflowed into an emergency pond with the material entering the Tulameen river ."
,,1,"Arcelor Mittal, Minorca Mine ,Minnesota","Minorca Mine ,Minnesota",47.5594289,-92.5224724,ROOFTOP,ChIJRYUVfmpXpVIRZuiJnQawRbA,US,"establishment,point_of_interest",,,,,,1,A,,2014,,,,,http://content.govdelivery.com/accounts/MNPCA/bulletins/108f692?fbclid=IwAR106VETs7vwoie3PqLH6k8hplCVST2zsV6Swfaf7Gzqe0ROsinbM_d6egU,"""Between May 2013 and April 2014 leaks from the company’s tailings pipeline and a dike failure at the tailings storage basin impacted more than fifteen acres of wetland."
,,3,"Arcelor Mittal, Minorca Mine ,Minnesota","Minorca Mine ,Minnesota",47.5594289,-92.5224724,ROOFTOP,ChIJRYUVfmpXpVIRZuiJnQawRbA,US,"establishment,point_of_interest",,,,,,2,A,,2013,,,,,http://content.govdelivery.com/accounts/MNPCA/bulletins/108f692?fbclid=IwAR106VETs7vwoie3PqLH6k8hplCVST2zsV6Swfaf7Gzqe0ROsinbM_d6egU,"""Between May 2013 and April 2014 leaks from the company’s tailings pipeline and a dike failure at the tailings storage basin impacted more than fifteen acres of wetland."
,,3,"Arcelor Mittal, Minorca Mine ,Minnesota","Minorca Mine ,Minnesota",47.5594289,-92.5224724,ROOFTOP,ChIJRYUVfmpXpVIRZuiJnQawRbA,US,"establishment,point_of_interest",,,,,,2,A,,2013,,,,,http://content.govdelivery.com/accounts/MNPCA/bulletins/108f692?fbclid=IwAR106VETs7vwoie3PqLH6k8hplCVST2zsV6Swfaf7Gzqe0ROsinbM_d6egU,"""Between May 2013 and April 2014 leaks from the company’s tailings pipeline and a dike failure at the tailings storage basin impacted more than fifteen acres of wetland."
1,3.333333333,1,"Minas De Bacis Mine Co, Mexico","Minas De Bacis Mine Co, Mexico",24.0635398,-104.6107923,ROOFTOP,ChIJUVbAFfi2m4YRO7-29dHfyRM,MX,"establishment,point_of_interest",,,,,,,,,2013,,,130,,Unesco (32),unesdoc.unesco.org/images/0024/002475/247519e.pdf;300 fisherman families lost livelihood
2,,1,"Durango, Mexicou","Durango, Mexico",24.0277202,-104.6531759,APPROXIMATE,ChIJc9-8GKW3m4YR1EpsOqaO3b8,MX,"locality,political",,,,,,,,,2013,21-Jan-2013,,,1,Unesco (32),unesdoc.unesco.org/images/0024/002475/247519e.pdf
